ControlNumber,Description,CheckStatus,CheckDate,Command
7.2.3 (L1),Ensure external content sharing is restricted (Automated),,,
7.2.4 (L2),Ensure OneDrive content sharing is restricted (Automated),,,
7.2.5 (L2),Ensure that SharePoint guest users cannot share items they don't own (Automated),,,
7.2.6 (L2),Ensure SharePoint external sharing is managed through domain whitelist/blacklists (Automated),,,
7.2.7 (L1),Ensure link sharing is restricted in SharePoint and OneDrive (Automated),,,
7.2.8 (L2),Ensure external sharing is restricted by security group (Manual),,,
7.2.9 (L1),Ensure guest access to a site or OneDrive will expire automatically 347 (Automated),,,
7.2.10 (L1),Ensure reauthentication with verification code is restricted (Automated),,,
7.2.11 (L1),Ensure the SharePoint default sharing link permission is set (Automated),,,
7.3.1 (L2),Ensure Office 365 SharePoint infected files are disallowed for download (Automated),,,
7.3.2 (L2),Ensure OneDrive sync is restricted for unmanaged devices (Automated),,,
7.3.3 (L1),Ensure custom script execution is restricted on personal sites (Automated),,,
8.1.1 (L2),Ensure external file sharing in Teams is enabled for only approved cloud storage services (Automated),,,
8.1.2 (L1),Ensure users can't send emails to a channel email address (Automated),,,
8.2.1 (L2),Ensure external domains are restricted in the Teams admin center . 374 (Automated),,,
8.2.2 (L1),Ensure communication with unmanaged Teams users is disabled (Automated),,,
8.2.3 (L1),Ensure external Teams users cannot initiate conversations (Automated),,,
8.2.4 (L1),Ensure communication with Skype users is disabled (Automated),,,
8.4.1 (L1),Ensure app permission policies are configured (Manual),,,
8.5.1 (L2),Ensure anonymous users can't join a meeting (Automated),,,
8.5.2 (L1),Ensure anonymous users and dial-in callers can't start a meeting (Automated),,,
8.5.3 (L1),Ensure only people in my org can bypass the lobby (Automated),,,
8.5.4 (L1),Ensure users dialing in can't bypass the lobby (Automated),,,
8.5.5 (L2),Ensure meeting chat does not allow anonymous users (Automated),,,
8.5.6 (L2),Ensure only organizers and co-organizers can present (Automated),,,
8.5.7 (L1),Ensure external participants can't give or request control (Automated),,,
8.5.8 (L2),Ensure external meeting chat is off (Automated),,,
8.5.9 (L2),Ensure meeting recording is off by default (Automated),,,
8.6.1 (L1),Ensure users can report security concerns in Teams (Automated),,,
9.1.1 (L1),Ensure guest user access is restricted (Manual),,,
9.1.2 (L1),Ensure external user invitations are restricted (Manual),,,
9.1.3 (L1),Ensure guest access to content is restricted (Manual),,,
9.1.4 (L1),Ensure 'Publish to web' is restricted (Manual),,,
9.1.5 (L2),Ensure 'Interact with and share R and Python' visuals is 'Disabled' (Manual),,,
9.1.6 (L1),Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled' (Manual),,,
9.1.7 (L1),Ensure shareable links are restricted (Manual),,,
9.1.8 (L1),Ensure enabling of external data sharing is restricted (Manual),,,
9.1.9 (L1),Ensure 'Block ResourceKey Authentication' is 'Enabled' (Manual),,,
9.1.10 (L1),Ensure access to APIs by Service Principals is restricted (Manual),,,
9.1.11 (L1),Ensure Service Principals cannot create and use profiles (Automated),,,
1.1.1 (L1),Ensure Administrative accounts are cloud-only  (Automated),,,
1.1.2 (L1),Ensure two emergency access accounts have been defined  (Manual),,,
1.1.3 (L1),Ensure that between two and four global admins are designated  (Automated),,,
1.1.4 (L1),Ensure administrative accounts use licenses with a reduced application footprint  1.2 Teams & groups (Automated),,,
1.2.1 (L2),Ensure that only organizationally managed/approved public groups exist  (Automated),,,
1.2.2 (L1),Ensure sign-in to shared mailboxes is blocked  1.3 Settings (Automated),,,
1.3.1 (L1),Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)'  (Automated),,,
1.3.2 (L2),Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices  (Automated),,,
1.3.3 (L2),Ensure 'External sharing' of calendars is not available  (Automated),,,
1.3.4 (L1),Ensure 'User owned apps and services' is restricted  Page 448 CIS Benchmark Recommendation Set Correctly Yes No (Automated),,,
1.3.5 (L1),Ensure internal phishing protection for Forms is enabled  (Automated),,,
1.3.6 (L2),Ensure the customer lockbox feature is enabled  (Automated),,,
1.3.7 (L2),Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'  (Automated),,,
1.3.8 (L2),Ensure that Sways cannot be shared with people outside of your organization  2 Microsoft 365 Defender 2.1 Email & collaboration (Manual),,,
2.1.1 (L2),Ensure Safe Links for Office Applications is Enabled  (Automated),,,
2.1.2 (L1),Ensure the Common Attachment Types Filter is enabled  (Automated),,,
2.1.3 (L1),Ensure notifications for internal users sending malware is Enabled  (Automated),,,
2.1.4 (L2),Ensure Safe Attachments policy is enabled  (Automated),,,
2.1.5 (L2),"Ensure Safe Attachments for SharePoint, OneDrive, and Microsoft Teams is Enabled  (Automated)",,,
2.1.6 (L1),Ensure Exchange Online Spam Policies are set to notify administrators  (Automated),,,
2.1.7 (L2),Ensure that an anti-phishing policy has been created  (Automated),,,
2.1.8 (L1),Ensure that SPF records are published for all Exchange Domains  (Automated),,,
2.1.9 (L1),Ensure that DKIM is enabled for all Exchange Online Domains  Page 449 CIS Benchmark Recommendation Set Correctly Yes No (Automated),,,
2.1.10 (L1),Ensure DMARC Records for all Exchange Online domains are published  (Automated),,,
2.1.11 (L2),Ensure comprehensive attachment filtering is applied  (Automated),,,
2.1.12 (L1),Ensure the connection filter IP allow list is not used  (Automated),,,
2.1.13 (L1),Ensure the connection filter safe list is off  (Automated),,,
2.1.14 (L1),Ensure inbound anti-spam policies do not contain allowed domains  2.2 Cloud apps (Automated),,,
2.2.1 (L1),Ensure emergency access account activity is monitored  2.3 Audit 2.4 System (Manual),,,
2.4.1 (L1),Ensure Priority account protection is enabled and configured  (Automated),,,
2.4.2 (L1),Ensure Priority accounts have 'Strict protection' presets applied  (Automated),,,
2.4.3 (L2),Ensure Microsoft Defender for Cloud Apps is enabled and configured  (Manual),,,
2.4.4 (L1),Ensure Zero-hour auto purge for Microsoft Teams is on  3 Microsoft Purview 3.1 Audit (Automated),,,
3.1.1 (L1),Ensure Microsoft 365 audit log search is Enabled  Page 450 CIS Benchmark Recommendation Set Correctly Yes No 3.2 Data loss protection (Automated),,,
3.2.1 (L1),Ensure DLP policies are enabled  (Manual),,,
3.2.2 (L1),Ensure DLP policies are enabled for Microsoft Teams  3.3 Information Protection (Automated),,,
3.3.1 (L1),Ensure Information Protection sensitivity label policies are published  4 Microsoft Intune admin center 4.1 (L2) Ensure devices without a compliance policy are marked 'not compliant'  4.2 (L2) Ensure device enrollment for personally owned devices is blocked by default  5 Microsoft Entra admin center 5.1 Identity 5.1.1 Overview 5.1.2 Users 5.1.2.1 (L1) Ensure 'Per-user MFA' is disabled  5.1.2.2 (L2) Ensure third party integrated applications are not allowed  5.1.2.3 (L1) Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'  5.1.2.4 (L1) Ensure access to the Entra admin center is restricted  5.1.2.5 (L2) Ensure the option to remain signed in is hidden  Page 451 CIS Benchmark Recommendation Set Correctly Yes No 5.1.2.6 (L2) Ensure 'LinkedIn account connections' is disabled  5.1.3 Groups 5.1.3.1 (L1) Ensure a dynamic group for guest users is created  5.1.4 Devices 5.1.5 Applications 5.1.5.1 (L2) Ensure user consent to apps accessing company data on their behalf is not allowed  5.1.5.2 (L1) Ensure the admin consent workflow is enabled  5.1.6 External Identities 5.1.6.1 (L2) Ensure that collaboration invitations are sent to allowed domains only  5.1.6.2 (L1) Ensure that guest user access is restricted  5.1.6.3 (L2) Ensure guest user invitations are limited to the Guest Inviter role  5.1.7 User experiences 5.1.8 Hybrid management 5.1.8.1 (L1) Ensure that password hash sync is enabled for hybrid deployments  5.2 Protection 5.2.1 Identity Protection 5.2.2 Conditional Access Page 452 CIS Benchmark Recommendation Set Correctly Yes No 5.2.2.1 (L1) Ensure multifactor authentication is enabled for all users in administrative roles  5.2.2.2 (L1) Ensure multifactor authentication is enabled for all users  5.2.2.3 (L1) Enable Conditional Access policies to block legacy authentication  5.2.2.4 (L1) Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users  5.2.2.5 (L2) Ensure 'Phishing-resistant MFA strength' is required for Administrators  5.2.2.6 (L1) Enable Identity Protection user risk policies  5.2.2.7 (L1) Enable Identity Protection sign-in risk policies  5.2.2.8 (L2) Ensure 'sign-in risk' is blocked for medium and high risk  5.2.2.9 (L1) Ensure a managed device is required for authentication  5.2.2.10 (L1) Ensure a managed device is required to register security information  5.2.2.11 (L1) Ensure sign-in frequency for Intune Enrollment is set to 'Every time'  5.2.2.12 (L1) Ensure the device code sign-in flow is blocked  5.2.3 Authentication Methods 5.2.3.1 (L1) Ensure Microsoft Authenticator is configured to protect against MFA fatigue  Page 453 CIS Benchmark Recommendation Set Correctly Yes No 5.2.3.2 (L1) Ensure custom banned passwords lists are used  5.2.3.3 (L1) Ensure password protection is enabled for on-prem Active Directory  5.2.3.4 (L1) Ensure all member users are 'MFA capable'  5.2.3.5 (L1) Ensure weak authentication methods are disabled  5.2.3.6 (L1) Ensure system-preferred multifactor authentication is enabled  5.2.4 Password reset 5.2.4.1 (L1) Ensure 'Self service password reset enabled' is set to 'All'  5.3 Identity Governance (Automated),,,
5.3.1 (L2),Ensure 'Privileged Identity Management' is used to manage roles  (Automated),,,
5.3.2 (L1),Ensure 'Access reviews' for Guest Users are configured  (Automated),,,
5.3.3 (L1),Ensure 'Access reviews' for privileged roles are configured ,,,
5.3.4 (L1),Ensure approval is required for Global Administrator role activation  (Manual),,,
5.3.5 (L1),Ensure approval is required for Privileged Role Administrator activation  6 Exchange admin center 6.1 Audit Page 454 CIS Benchmark Recommendation Set Correctly Yes No (Manual),,,
6.1.1 (L1),Ensure 'AuditDisabled' organizationally is set to 'False'  (Automated),,,
6.1.2 (L1),Ensure mailbox audit actions are configured  (Automated),,,
6.1.3 (L1),Ensure 'AuditBypassEnabled' is not enabled on mailboxes  6.2 Mail flow (Automated),,,
6.2.1 (L1),Ensure all forms of mail forwarding are blocked and/or disabled  (Automated),,,
6.2.2 (L1),Ensure mail transport rules do not whitelist specific domains  (Automated),,,
6.2.3 (L1),Ensure email from external senders is identified  6.3 Roles (Automated),,,
6.3.1 (L2),Ensure users installing Outlook add-ins is not allowed  6.4 Reports 6.5 Settings (Automated),,,
6.5.1 (L1),Ensure modern authentication for Exchange Online is enabled  (Automated),,,
6.5.2 (L1),Ensure MailTips are enabled for end users  (Automated),,,
6.5.3 (L2),Ensure additional storage providers are restricted in Outlook on the web  (Automated),,,
6.5.4 (L1),Ensure SMTP AUTH is disabled  7 SharePoint admin center Page 455 CIS Benchmark Recommendation Set Correctly Yes No 7.1 Sites 7.2 Policies (Automated),,,
7.2.1 (L1),Ensure modern authentication for SharePoint applications is required  (Automated),,,
7.2.2 (L1),Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled  (Automated),,,
7.2.3 (L1),Ensure external content sharing is restricted  (Automated),,,
7.2.4 (L2),Ensure OneDrive content sharing is restricted  (Automated),,,
7.2.5 (L2),Ensure that SharePoint guest users cannot share items they don't own  (Automated),,,
7.2.6 (L2),Ensure SharePoint external sharing is managed through domain whitelist/blacklists  (Automated),,,
7.2.7 (L1),Ensure link sharing is restricted in SharePoint and OneDrive  (Automated),,,
7.2.8 (L2),Ensure external sharing is restricted by security group  (Manual),,,
7.2.9 (L1),Ensure guest access to a site or OneDrive will expire automatically  (Automated),,,
7.2.10 (L1),Ensure reauthentication with verification code is restricted  (Automated),,,
7.2.11 (L1),Ensure the SharePoint default sharing link permission is set  7.3 Settings (Automated),,,
7.3.1 (L2),Ensure Office 365 SharePoint infected files are disallowed for download  Page 456 CIS Benchmark Recommendation Set Correctly Yes No (Automated),,,
7.3.2 (L2),Ensure OneDrive sync is restricted for unmanaged devices  (Automated),,,
7.3.3 (L1),Ensure custom script execution is restricted on personal sites  (Manual),,,
7.3.4 (L1),Ensure custom script execution is restricted on site collections  8 Microsoft Teams admin center 8.1 Teams (Automated),,,
8.1.1 (L2),Ensure external file sharing in Teams is enabled for only approved cloud storage services  (Automated),,,
8.1.2 (L1),Ensure users can't send emails to a channel email address  8.2 Users (Automated),,,
8.2.1 (L2),Ensure external domains are restricted in the Teams admin center  (Automated),,,
8.2.2 (L1),Ensure communication with unmanaged Teams users is disabled  (Automated),,,
8.2.3 (L1),Ensure external Teams users cannot initiate conversations  (Automated),,,
8.2.4 (L1),Ensure communication with Skype users is disabled  8.3 Teams devices 8.4 Teams apps (Automated),,,
8.4.1 (L1),Ensure app permission policies are configured  8.5 Meetings Page 457 CIS Benchmark Recommendation Set Correctly Yes No (Manual),,,
8.5.1 (L2),Ensure anonymous users can't join a meeting  (Automated),,,
8.5.2 (L1),Ensure anonymous users and dial-in callers can't start a meeting  (Automated),,,
8.5.3 (L1),Ensure only people in my org can bypass the lobby  (Automated),,,
8.5.4 (L1),Ensure users dialing in can't bypass the lobby  (Automated),,,
8.5.5 (L2),Ensure meeting chat does not allow anonymous users  (Automated),,,
8.5.6 (L2),Ensure only organizers and co-organizers can present  (Automated),,,
8.5.7 (L1),Ensure external participants can't give or request control  (Automated),,,
8.5.8 (L2),Ensure external meeting chat is off  (Automated),,,
8.5.9 (L2),Ensure meeting recording is off by default  8.6 Messaging (Automated),,,
8.6.1 (L1),Ensure users can report security concerns in Teams  9 Microsoft Fabric 9.1 Tenant settings (Automated),,,
9.1.1 (L1),Ensure guest user access is restricted  (Manual),,,
9.1.2 (L1),Ensure external user invitations are restricted  (Manual),,,
9.1.3 (L1),Ensure guest access to content is restricted  Page 458 CIS Benchmark Recommendation Set Correctly Yes No (Manual),,,
9.1.4 (L1),Ensure 'Publish to web' is restricted  (Manual),,,
9.1.5 (L2),Ensure 'Interact with and share R and Python' visuals is 'Disabled'  (Manual),,,
9.1.6 (L1),Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled'  (Manual),,,
9.1.7 (L1),Ensure shareable links are restricted  (Manual),,,
9.1.8 (L1),Ensure enabling of external data sharing is restricted  (Manual),,,
9.1.9 (L1),Ensure 'Block ResourceKey Authentication' is 'Enabled'  (Manual),,,
9.1.10 (L1),Ensure access to APIs by Service Principals is restricted  (Manual),,,
