Area,SubArea,ControlId,Level,Assessment,Title
"3 Microsoft Purview","3.3 Information Protection","3.3.1","L1","Automated","Ensure Information Protection sensitivity label policies are published"

"4 Microsoft Intune admin center","4.x","4.1","L2","Automated","Ensure devices without a compliance policy are marked 'not compliant'"
"4 Microsoft Intune admin center","4.x","4.2","L2","Automated","Ensure device enrollment for personally owned devices is blocked by default"

"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.1","L1","Automated","Ensure 'Per-user MFA' is disabled"
"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.2","L2","Automated","Ensure third party integrated applications are not allowed"
"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.3","L1","Automated","Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'"
"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.4","L1","Manual","Ensure access to the Entra admin center is restricted"
"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.5","L2","Manual","Ensure the option to remain signed in is hidden"
"5 Microsoft Entra admin center","5.1.2 Users","5.1.2.6","L2","Manual","Ensure 'LinkedIn account connections' is disabled"
"5 Microsoft Entra admin center","5.1.3 Groups","5.1.3.1","L1","Automated","Ensure a dynamic group for guest users is created"
"5 Microsoft Entra admin center","5.1.3 Groups","5.1.3.2","L1","Automated","Ensure users cannot create security groups"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.1","L2","Automated","Ensure the ability to join devices to Entra is restricted"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.2","L1","Automated","Ensure the maximum number of devices per user is limited"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.3","L1","Automated","Ensure the GA role is not added as a local administrator during Entra join"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.4","L1","Automated","Ensure local administrator assignment is limited during Entra join"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.5","L1","Automated","Ensure Local Administrator Password Solution is enabled"
"5 Microsoft Entra admin center","5.1.4 Devices","5.1.4.6","L2","Automated","Ensure users are restricted from recovering BitLocker keys"
"5 Microsoft Entra admin center","5.1.5 Applications","5.1.5.1","L2","Automated","Ensure user consent to apps accessing company data on their behalf is not allowed"
"5 Microsoft Entra admin center","5.1.5 Applications","5.1.5.2","L1","Automated","Ensure the admin consent workflow is enabled"
"5 Microsoft Entra admin center","5.1.6 External Identities","5.1.6.1","L2","Automated","Ensure that collaboration invitations are sent to allowed domains only"
"5 Microsoft Entra admin center","5.1.6 External Identities","5.1.6.2","L1","Automated","Ensure that guest user access is restricted"
"5 Microsoft Entra admin center","5.1.6 External Identities","5.1.6.3","L2","Automated","Ensure guest user invitations are limited to the Guest Inviter role"
"5 Microsoft Entra admin center","5.1.8 Hybrid management","5.1.8.1","L1","Manual","Ensure that password hash sync is enabled for hybrid deployments"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.1","L1","Automated","Ensure multifactor authentication is enabled for all users in administrative roles"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.2","L1","Automated","Ensure multifactor authentication is enabled for all users"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.3","L1","Automated","Enable Conditional Access policies to block legacy authentication"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.4","L1","Automated","Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.5","L2","Automated","Ensure 'Phishing-resistant MFA strength' is required for Administrators"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.6","L1","Automated","Enable Identity Protection user risk policies"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.7","L1","Automated","Enable Identity Protection sign-in risk policies"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.8","L2","Automated","Ensure 'sign-in risk' is blocked for medium and high risk"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.9","L1","Automated","Ensure a managed device is required for authentication"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.10","L1","Automated","Ensure a managed device is required to register security information"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.11","L1","Automated","Ensure sign-in frequency for Intune Enrollment is set to 'Every time'"
"5 Microsoft Entra admin center","5.2.2 Risk-based Conditional Access","5.2.2.12","L1","Automated","Ensure the device code sign-in flow is blocked"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.1","L1","Automated","Ensure Microsoft Authenticator is configured to protect against MFA fatigue"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.2","L1","Automated","Ensure custom banned passwords lists are used"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.3","L1","Automated","Ensure password protection is enabled for on-prem Active Directory"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.4","L1","Automated","Ensure all member users are 'MFA capable'"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.5","L1","Automated","Ensure weak authentication methods are disabled"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.6","L1","Automated","Ensure system-preferred multifactor authentication is enabled"
"5 Microsoft Entra admin center","5.2.3 Authentication Methods","5.2.3.7","L2","Automated","Ensure the email OTP authentication method is disabled"
"5 Microsoft Entra admin center","5.2.4 Password reset","5.2.4.1","L1","Manual","Ensure 'Self service password reset enabled' is set to 'All'"
"5 Microsoft Entra admin center","5.3 ID Governance","5.3.1","L2","Automated","Ensure 'Privileged Identity Management' is used to manage roles"
"5 Microsoft Entra admin center","5.3 ID Governance","5.3.2","L1","Automated","Ensure 'Access reviews' for Guest Users are configured"
"5 Microsoft Entra admin center","5.3 ID Governance","5.3.3","L1","Automated","Ensure 'Access reviews' for privileged roles are configured"
"5 Microsoft Entra admin center","5.3 ID Governance","5.3.4","L1","Automated","Ensure approval is required for Global Administrator role activation"
"5 Microsoft Entra admin center","5.3 ID Governance","5.3.5","L1","Automated","Ensure approval is required for Privileged Role Administrator activation"

"6 Exchange admin center","6.1 Audit","6.1.1","L1","Automated","Ensure 'AuditDisabled' organizationally is set to 'False'"
"6 Exchange admin center","6.1 Audit","6.1.2","L1","Automated","Ensure mailbox audit actions are configured"
"6 Exchange admin center","6.1 Audit","6.1.3","L1","Automated","Ensure 'AuditBypassEnabled' is not enabled on mailboxes"
"6 Exchange admin center","6.2 Mail flow","6.2.1","L1","Automated","Ensure all forms of mail forwarding are blocked and/or disabled"
"6 Exchange admin center","6.2 Mail flow","6.2.2","L1","Automated","Ensure mail transport rules do not whitelist specific domains"
"6 Exchange admin center","6.2 Mail flow","6.2.3","L1","Automated","Ensure email from external senders is identified"
"6 Exchange admin center","6.3 Roles","6.3.1","L2","Automated","Ensure users installing Outlook add-ins is not allowed"
"6 Exchange admin center","6.5 Settings","6.5.1","L1","Automated","Ensure modern authentication for Exchange Online is enabled"
"6 Exchange admin center","6.5 Settings","6.5.2","L1","Automated","Ensure MailTips are enabled for end users"
"6 Exchange admin center","6.5 Settings","6.5.3","L2","Automated","Ensure additional storage providers are restricted in Outlook on the web"
"6 Exchange admin center","6.5 Settings","6.5.4","L1","Automated","Ensure SMTP AUTH is disabled"
"6 Exchange admin center","6.5 Settings","6.5.5","L2","Automated","Ensure Direct Send submissions are rejected"

"7 SharePoint admin center","7.2 Policies","7.2.1","L1","Automated","Ensure modern authentication for SharePoint applications is required"
"7 SharePoint admin center","7.2 Policies","7.2.2","L1","Automated","Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled"
"7 SharePoint admin center","7.2 Policies","7.2.3","L1","Automated","Ensure external content sharing is restricted"
"7 SharePoint admin center","7.2 Policies","7.2.4","L2","Automated","Ensure OneDrive content sharing is restricted"
"7 SharePoint admin center","7.2 Policies","7.2.5","L2","Automated","Ensure that SharePoint guest users cannot share items they don't own"
"7 SharePoint admin center","7.2 Policies","7.2.6","L2","Automated","Ensure SharePoint external sharing is restricted"
"7 SharePoint admin center","7.2 Policies","7.2.7","L1","Automated","Ensure link sharing is restricted in SharePoint and OneDrive"
"7 SharePoint admin center","7.2 Policies","7.2.8","L2","Manual","Ensure external sharing is restricted by security group"
"7 SharePoint admin center","7.2 Policies","7.2.9","L1","Automated","Ensure guest access to a site or OneDrive will expire automatically"
"7 SharePoint admin center","7.2 Policies","7.2.10","L1","Automated","Ensure reauthentication with verification code is restricted"
"7 SharePoint admin center","7.2 Policies","7.2.11","L1","Automated","Ensure the SharePoint default sharing link permission is set"
"7 SharePoint admin center","7.3 Settings","7.3.1","L2","Automated","Ensure Office 365 SharePoint infected files are disallowed for download"
"7 SharePoint admin center","7.3 Settings","7.3.2","L2","Automated","Ensure OneDrive sync is restricted for unmanaged devices"

"8 Microsoft Teams admin center","8.1 Teams","8.1.1","L2","Automated","Ensure external file sharing in Teams is enabled for only approved cloud storage services"
"8 Microsoft Teams admin center","8.1 Teams","8.1.2","L1","Automated","Ensure users can't send emails to a channel email address"
"8 Microsoft Teams admin center","8.2 Users","8.2.1","L2","Automated","Ensure external domains are restricted in the Teams admin center"
"8 Microsoft Teams admin center","8.2 Users","8.2.2","L1","Automated","Ensure communication with unmanaged Teams users is disabled"
"8 Microsoft Teams admin center","8.2 Users","8.2.3","L1","Automated","Ensure external Teams users cannot initiate conversations"
"8 Microsoft Teams admin center","8.2 Users","8.2.4","L1","Automated","Ensure the organization cannot communicate with accounts in trial Teams tenants"
"8 Microsoft Teams admin center","8.4 Teams apps","8.4.1","L1","Manual","Ensure app permission policies are configured"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.1","L2","Automated","Ensure anonymous users can't join a meeting"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.2","L1","Automated","Ensure anonymous users and dial-in callers can't start a meeting"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.3","L1","Automated","Ensure only people in my org can bypass the lobby"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.4","L1","Automated","Ensure users dialing in can't bypass the lobby"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.5","L2","Automated","Ensure meeting chat does not allow anonymous users"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.6","L2","Automated","Ensure only organizers and co-organizers can present"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.7","L1","Automated","Ensure external participants can't give or request control"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.8","L2","Automated","Ensure external meeting chat is off"
"8 Microsoft Teams admin center","8.5 Meetings","8.5.9","L2","Automated","Ensure meeting recording is off by default"
"8 Microsoft Teams admin center","8.6 Messaging","8.6.1","L1","Automated","Ensure users can report security concerns in Teams"

"9 Microsoft Fabric","9.1 Tenant settings","9.1.1","L1","Manual","Ensure guest user access is restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.2","L1","Manual","Ensure external user invitations are restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.3","L1","Manual","Ensure guest access to content is restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.4","L1","Manual","Ensure 'Publish to web' is restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.5","L2","Manual","Ensure 'Interact with and share R and Python' visuals is 'Disabled'"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.6","L1","Manual","Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled'"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.7","L1","Manual","Ensure shareable links are restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.8","L1","Manual","Ensure enabling of external data sharing is restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.9","L1","Manual","Ensure 'Block ResourceKey Authentication' is 'Enabled'"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.10","L1","Manual","Ensure access to APIs by service principals is restricted"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.11","L1","Manual","Ensure service principals cannot create and use profiles"
"9 Microsoft Fabric","9.1 Tenant settings","9.1.12","L1","Manual","Ensure service principals ability to create workspaces, connections and deployment pipelines is restricted"
